el_state_1,el_state_2,polinom,coeff
1,2,q3*q3*q5+*q5+,-0.33447893
1,2,q3*q3*q5+*q4+,0.0524546244
1,2,q3*q3*q4+*q4+,0.155710273
1,2,q3*q2*q2*q6-,0.212476708
1,2,q3*q2*q2*q5-,-0.801548222
1,2,q3*q2*q2*q4-,0.140581366
1,2,q3*q2*q1*q6-,-0.083944131
1,2,q3*q2*q1*q5-,0.01356644302
1,2,q3*q2*q1*q4-,-0.229177628
1,2,q3*q2*q6+*q6+,-0.455524516
1,2,q3*q2*q6+*q5+,-0.0922332654
1,2,q3*q2*q6+*q4+,0.215715552
1,2,q3*q2*q5+*q5+,-0.1869356316
1,2,q3*q2*q5+*q4+,-0.061072311
1,2,q3*q2*q4+*q4+,0.078748186
1,2,q3*q1*q1*q6-,0.0254436288
1,2,q3*q1*q1*q5-,-0.248488856
1,2,q3*q1*q1*q4-,-0.231694118
1,2,q3*q1*q6+*q6+,-0.160062885
1,2,q3*q1*q6+*q5+,0.1136762202
1,2,q3*q1*q6+*q4+,0.00271934644
1,2,q3*q1*q5+*q5+,0.0259794198
1,2,q3*q1*q5+*q4+,0.030179799
1,2,q3*q1*q4+*q4+,0.1694180338
1,2,q3*q6+*q6-*q6-,-0.0902185386
1,2,q3*q6+*q6-*q5-,0.093954522
1,2,q3*q6+*q6-*q4-,0.1306428646
1,2,q3*q6+*q5-*q5-,-0.01754877694
1,2,q3*q6+*q5-*q4-,-0.0068814585
1,2,q3*q6+*q4-*q4-,0.01014883224
1,2,q3*q6-*q6-*q5+,-0.01752942186
1,2,q3*q6-*q6-*q4+,0.0699395028
1,2,q3*q6-*q5+*q5-,-0.0207389656
1,2,q3*q6-*q5+*q4-,0.0402608088
1,2,q3*q6-*q5-*q4+,-0.080056699
1,2,q3*q6-*q4+*q4-,0.0301921274
1,2,q3*q5+*q5-*q5-,-0.248757642
1,2,q3*q5+*q5-*q4-,0.0777579298
1,2,q3*q5+*q4-*q4-,-0.051965772
1,2,q3*q5-*q5-*q4+,-0.0933623374
1,2,q3*q5-*q4+*q4-,-0.0535623298
1,2,q3*q4+*q4-*q4-,-0.1299487704
1,2,q2*q2*q2*q6-,0.1954931328
1,2,q2*q2*q2*q5-,-0.783097932
1,2,q2*q2*q2*q4-,0.230006312
1,2,q2*q2*q1*q6-,0.1154572336
1,2,q2*q2*q1*q5-,0.1173359432
1,2,q2*q2*q1*q4-,-0.216348642
1,2,q2*q2*q6+*q6+,-0.503533432
1,2,q2*q2*q6+*q5+,0.061748067
1,2,q2*q2*q6+*q4+,0.01567363684
1,2,q2*q2*q5+*q5+,-0.285217062
1,2,q2*q2*q5+*q4+,-0.0364612454
1,2,q2*q2*q4+*q4+,0.093612359
1,2,q2*q1*q1*q6-,0.107982339
1,2,q2*q1*q1*q5-,-0.1470183868
1,2,q2*q1*q1*q4-,-0.098064559
1,2,q2*q1*q6+*q6+,0.230064046
1,2,q2*q1*q6+*q5+,-0.0548424914
1,2,q2*q1*q6+*q4+,-0.0774016534
1,2,q2*q1*q5+*q5+,-0.0320338136
1,2,q2*q1*q5+*q4+,0.0699894648
1,2,q2*q1*q4+*q4+,0.118887442
1,2,q2*q6+*q6-*q6-,-0.0473675686
1,2,q2*q6+*q6-*q5-,0.1208551054
1,2,q2*q6+*q6-*q4-,-0.1155115334
1,2,q2*q6+*q5-*q4-,0.0217234706
1,2,q2*q6+*q4-*q4-,0.0677971366
1,2,q2*q6-*q6-*q5+,0.0477023338
1,2,q2*q6-*q6-*q4+,0.00710845388
1,2,q2*q6-*q5+*q5-,-0.0870551148
1,2,q2*q6-*q5+*q4-,0.0638276702
1,2,q2*q6-*q5-*q4+,-0.1104549008
1,2,q2*q6-*q4+*q4-,0.0633534186
1,2,q2*q5+*q5-*q5-,-0.22019855
1,2,q2*q5+*q5-*q4-,0.0881905048
1,2,q2*q5+*q4-*q4-,-0.0631935042
1,2,q2*q5-*q5-*q4+,-0.041881618
1,2,q2*q5-*q4+*q4-,-0.034675317
1,2,q2*q4+*q4-*q4-,-0.066032916
